authorId,categoryId ,publisherId,typeId,languageId,name,description,isbn,imageLink,releaseYear,pageCount
20,2,17,3,1,The Grapes of Wrath ,"""The Grapes of Wrath"" by John Steinbeck is a powerful novel that follows the Joad family's journey during the Great Depression. Dispossessed of their Oklahoma farm, they travel to California in search of work and a better life. The story delves into the harsh realities faced by migrant workers, including exploitation, poverty, and discrimination.",9780141394886,https://m.media-amazon.com/images/I/61HReoACBUL._SY342_.jpg,2014,528
20,2,17,2,1,East of Eden,"""East of Eden"" by John Steinbeck is an epic novel that reimagines the biblical story of Cain and Abel in a modern setting. The novel unfolds in California's Salinas Valley and spans generations of two families, the Trasks and the Hamiltons. Central to the story is the tumultuous relationship between brothers Charles and Adam Trask, mirroring the biblical conflict between Cain and Abel.",9780140186390,https://en.wikipedia.org/wiki/File:East_of_Eden_(1952_1st_ed_dust_jacket).jpg,1992,640
21,2,27,9,1,The Da Vinci Code,"""The Da Vinci Code"" by Dan Brown is a gripping thriller following symbologist Robert Langdon and cryptologist Sophie Neveu as they decipher clues related to a murder at the Louvre Museum. Their investigation unveils ancient mysteries, secret societies, and shocking revelations about Christianity's history, the Knights Templar, and the Holy Grail. Filled with twists and suspense, the novel blends art, history, and hidden knowledge into a captivating and thrilling narrative.",9780307474278,https://pictures.abebooks.com/isbn/9780307474278-us.jpg,2009,597
22,2,28,10,2,Kürk Mantolu Madonna,"Psikolojik bir anlatı olarak da ifade edebileceğimiz roman aslında üç ana tema etrafında şekilleniyor: Aşk, yalnızlık ve yabancılaşma. Kürk Mantolu Madonna, daha çok bir aşk hikayesi olarak görünse de romanda aslında bir insanın yalnızlaşma sürecine ve giderek topluma yabancılaşmasına şahit oluyoruz. ",9789753638029,"https://static.ticimax.cloud/cdn-cgi/image/width=700,quality=85/4026/uploads/urunresimleri/buyuk/kurk-mantolu-madonna---sabahattin-ali-751e.jpg",1998,160
22,2,28,3,2,İçimizdeki Şeytan,"Bu romanında, toplumsal gündemin kişilikler üzerindeki baskısını ve güçsüz insanın ""kapana kısılmışlığını"" gösteriyor Sabahattin Ali. Aydın geçinenlerin karanlığına, ""insanın içindeki şeytan""a keskin bir bakış.",9789753638037,https://images.ykykultur.com.tr/upload/image/1093414c-fe62-45c1-a57e-5a6cee3d4a64.jpg,2023,256
22,2,29,2,2,Kuyucaklı Yusuf,Evlatlık olarak alındığı ailesi ile Edremit’te büyüyen Yusuf’un ailesini kasabanın kötü niyetli insanlarından korumak için verdiği mücadeleyi konu alır.,9786052006764,https://www.ithakiyayingrubu.com/dosyalar/2022/02/9786052006764_Kuyucakli-Yusuf-500x779.jpg,2019,232
22,2,28,2,2,Değirmen,Kitabın ismi aynı ada sahip öyküden gelmektedir. 3 kısımdan oluşan kitapta toplamda 16 adet öykü bulunmaktadır. Yazarın 1927 ile 1934 yılları arasındaki hikâyelerini içerir. Ayrıca kitap ön sözünde Sabahattin Ali’nin kendisine yönelik eleştirel düşünceleri yer alır.,9789750806605,https://cdn.kitapsec.com/image/urun/2020/04/15/1586959281.jpg,2017,140
23,8,30,7,2,Inanan Beyin,"İnançlar nasıl doğar, şekillenir, pekiştirilir, ayakta kalır, değiştirilir ve yok edilir? Bu çalışma psikolog, bilim tarihçisi ve dünyanın en ünlü şüphecilerinden biri olan Michael Shermer'in otuz yıllık birikiminin ürünüdür. Shermer'a göre beyin bir inanç motorudur. Önce inançlar gelir, sonra açıklamalar. Duyu verilerinden gelen bilgiyi işleyen beyin doğal olarak önce bir kalıp arar, daha sonra bu kalıba göre anlam bulur. İşte beynimizin noktaları birleştirerek yarattığı bu kalıplar inançlardır, inançlar bir kere oluşunca, bunları sağlamlaştırmak için kanıt aramaya başlanır. Shermer bu sürecin nasıl işlediğini göstermek için siyasetten ekonomiye, dinlerden komplo teorilerine ve doğaüstü olaylara kadar gerçek yaşamdan sayısız örnekler veriyor. En sonunda da inançlarımızın gerçeklerle bağdaşıp bağdaşmadığına karar vermek için en iyi aracın bilim olduğunu gözler önüne seriyor.",978-6051063850,"https://m.media-amazon.com/images/I/51yCcEG4s-L._AC_UF1000,1000_QL80_.jpg",2011,436
23,1,31,7,2,Ahlakın Yayı,"Ahlakın Yayı'nda Michael Shermer okurlarına şu soruyu soruyor: '' İnsanlık tarihinde son birkaç yüzyılda yaşanan büyük ahlaki ilerlemeyi neye borçluyuz?'' Shermer'in cevabı oldukça net: akıl ve bilim. Shermer antik zamanlardan bugüne doğru uzanan bir süreçte ahlaki sorumluluklarımızın ailemizden mensubu olduğumuz gruplara, oradan da tüm insanlar ve hatta tüm canlıları kapsayan bir ahlaki küreye doğru nasıl genişlediğini detaylıca açıklıyor. Savaşlardan teröre, dini anlatılardan köleliğe, kadın ve eşcinsel haklarına dair birçok konuda akıl ve bilimin bize gerçek ahlak duygusunun anahtarını nasıl verdiğini çarpıcı örneklerle gözler önüne seriyor. Bununla da kalmayıp insanlığın ahlaki geleceğine dair temkinli fakat umut dolu tahminlerde bulunuyor. Ahlaki duyguların tarih boyunca yaşadığı ilerlemeye dair bu heyecanlı ve aydınlatıcı araştırmayı bütün okurlarımıza öneriyoruz.",978-6057789006,https://m.media-amazon.com/images/I/61CRXA-hk6L._SL1000_.jpg,2019,536
23,8,32,7,1,Why People Believe Weird Things,"IN THIS AGE OF SUPPOSED SCIENTIFIC ENLIGHTENMENT, many people still believe in mind reading, past-life regression theory, New Age hokum, and alien abduction. A no-holds-barred assault on popular superstitions and prejudices, with more than 80,000 copies in print, Why People Believe Weird Things debunks these nonsensical claims and explores the very human reasons people find otherworldly phenomena, conspiracy theories, and cults so appealing. In an entirely new chapter, “Why Smart People Believe in Weird Things,” Michael Shermer takes on science luminaries like physicist Frank Tippler and others, who hide their spiritual beliefs behind the trappings of science.",978-0965594875,https://m.media-amazon.com/images/I/21o1I3caiIL.jpg,1997,306
